learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,2,0,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.322969462
2,8,2,1,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.338110751
2,8,2,2,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.406106253
2,8,2,3,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.434159829
2,8,2,4,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.325508299
2,8,2,5,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.427461132
2,8,2,6,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.340614339
2,8,2,7,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.405835456
2,8,2,8,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.43806318
2,8,2,9,0.201,0.881,1,0.060028076,0.01260376,0.890838623,2,0.357229391
2,8,3,0,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.610463854
2,8,3,1,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.612231555
2,8,3,2,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.485646579
2,8,3,3,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.534362483
2,8,3,4,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.576967376
2,8,3,5,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.486170517
2,8,3,6,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.569809855
2,8,3,7,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.464777645
2,8,3,8,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.500805583
2,8,3,9,0.201,0.881,1,0.020690918,0.541290283,0.718261719,3,0.638276731
3,10,1,0,0.215,0.875,1,0.200897217,0.254058838,0.294647217,3,0.765799757
3,10,1,1,0.215,0.875,1,0.200897217,0.254058838,0.294647217,3,0.598757805
3,10,1,2,0.215,0.875,1,0.200897217,0.254058838,0.294647217,3,0.522511584
