learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,1,0.891632,6
2,8,0,0.201,0.881,1,0.528534,6
2,8,6,0.201,0.881,1,0.465546,5
2,8,7,0.201,0.881,1,0.843384,4
3,10,2,0.215,0.875,1,0.496674,6
3,10,4,0.215,0.875,1,0.705688,9
3,10,6,0.215,0.875,1,0.305908,4
3,10,7,0.215,0.875,1,0.378937,0
4,13,0,0.229,0.865,1,0.054504,0
4,13,10,0.229,0.865,1,0.402435,3
4,13,11,0.229,0.865,1,0.18338,8
5,9,4,0.22,0.871,1,0.14325,7
5,9,8,0.22,0.871,1,0.919983,0
6,19,1,0.22,0.863,1,0.88681,7
6,19,2,0.22,0.863,1,0.660645,0
6,19,10,0.22,0.863,1,0.151367,3
6,19,15,0.22,0.863,1,0.263824,1
7,8,1,0.209,0.866,1,0.638275,0
7,8,3,0.209,0.866,1,0.379639,4
7,8,4,0.209,0.866,1,0.023926,9
7,8,7,0.209,0.866,1,0.612793,6
8,10,6,0.223,0.887,1,0.786469,4
8,10,8,0.223,0.887,1,0.826324,6
9,13,0,0.199,0.871,1,0.894714,9
9,13,5,0.199,0.871,1,0.268372,6
9,13,9,0.199,0.871,1,0.917419,8
9,13,10,0.199,0.871,1,0.195435,2
10,7,3,0.2,0.876,1,0.095398,8
11,2,1,0.194,0.867,1,0.380737,7
12,19,2,0.221,0.877,1,0.401855,7
12,19,3,0.221,0.877,1,0.017456,6
12,19,4,0.221,0.877,1,0.846161,2
12,19,6,0.221,0.877,1,0.181702,0
12,19,10,0.221,0.877,1,0.870697,8
12,19,16,0.221,0.877,1,0.801636,5
13,8,7,0.232,0.87,1,0.060272,5
14,7,0,0.219,0.871,1,0.673767,8
15,15,4,0.218,0.879,1,0.340363,5
15,15,7,0.218,0.879,1,0.404266,7
15,15,8,0.218,0.879,1,0.356201,6
15,15,11,0.218,0.879,1,0.578461,9
16,8,2,0.201,0.854,1,0.389832,2
16,8,5,0.201,0.854,1,0.561951,3
17,16,0,0.22,0.885,1,0.084045,2
17,16,5,0.22,0.885,1,0.021454,7
17,16,8,0.22,0.885,1,0.493317,6
20,16,2,0.203,0.875,1,0.049652,7
20,16,7,0.203,0.875,1,0.291534,2
20,16,9,0.203,0.875,1,0.246368,0
20,16,10,0.203,0.875,1,0.086121,4
20,16,14,0.203,0.875,1,0.836151,9
21,6,0,0.224,0.868,1,0.121704,4
21,6,4,0.224,0.868,1,0.50882,8
22,11,8,0.213,0.886,1,0.274841,7
24,12,0,0.204,0.882,1,0.096161,6
24,12,5,0.204,0.882,1,0.686737,7
24,12,6,0.204,0.882,1,0.963287,2
25,15,1,0.222,0.878,1,0.991455,2
25,15,10,0.222,0.878,1,0.942474,6
25,15,11,0.222,0.878,1,0.640839,1
25,15,12,0.222,0.878,1,0.911377,7
25,15,13,0.222,0.878,1,0.676178,5
26,20,4,0.21,0.877,1,0.698395,6
26,20,8,0.21,0.877,1,0.628204,9
26,20,10,0.21,0.877,1,0.185303,2
26,20,11,0.21,0.877,1,0.210236,4
27,10,2,0.197,0.884,1,0.778137,2
27,10,8,0.197,0.884,1,0.541412,1
27,10,9,0.197,0.884,1,0.237488,5
28,20,7,0.222,0.858,1,0.535553,8
28,20,16,0.222,0.858,1,0.581604,2
29,20,4,0.225,0.848,1,0.75824,0
29,20,6,0.225,0.848,1,0.717041,5
29,20,9,0.225,0.848,1,0.715149,7
29,20,14,0.225,0.848,1,0.662506,8
30,13,6,0.214,0.883,1,0.138306,5
30,13,9,0.214,0.883,1,0.245575,4
31,10,2,0.21,0.878,1,0.735565,4
32,15,6,0.224,0.892,1,0.235107,2
33,22,0,0.215,0.885,1,0.527374,2
33,22,7,0.215,0.885,1,0.132263,3
33,22,8,0.215,0.885,1,0.497437,1
33,22,13,0.215,0.885,1,0.485626,0
33,22,15,0.215,0.885,1,0.44754,4
33,22,16,0.215,0.885,1,0.189545,9
